OrderID,CustomerName,Region,Product,Category,Quantity,UnitPrice,OrderDate,Revenue
1001,Suresh Raina,South,Iron,Home Appliances,2,55983.08,2024-07-25,111966.16
1002,Vikas Patel,West,Keyboard,Accessories,5,39876.61,2024-10-05,199383.05
1003,Vikas Patel,East,Headphones,Accessories,10,27973.22,2024-07-08,279732.2
1004,Vikas Patel,South,Smartphone,Electronics,9,53291.59,2024-05-15,479624.31
1005,Neha Reddy,North,Charger,Accessories,1,34238.29,2024-07-14,34238.29
1006,Rahul Sharma,East,Keyboard,Accessories,10,2622.03,2024-05-31,26220.3
1007,Priya Nair,South,Keyboard,Accessories,1,3996.02,2024-07-31,3996.02
1008,Anil Verma,South,Tablet,Electronics,7,54732.86,2024-09-23,383130.02
1009,Sneha Iyer,East,Vacuum Cleaner,Home Appliances,6,36768.98,2024-05-25,220613.88
1010,Anil Verma,South,Monitor,Electronics,5,17634.5,2024-04-25,88172.5
1011,Rahul Sharma,North,Iron,Home Appliances,2,26392.48,2024-12-20,52784.96
1012,Arun Kumar,North,Mouse,Accessories,6,56034.43,2024-11-14,336206.58
1013,Sneha Iyer,North,USB Cable,Accessories,7,31274.48,2024-11-15,218921.36
1014,Suresh Raina,East,Vacuum Cleaner,Home Appliances,9,35422.54,2024-08-11,318802.86
1015,Rahul Sharma,North,Iron,Home Appliances,8,20115.34,2024-05-24,160922.72
1016,Arjun Das,West,Tablet,Electronics,7,36067.76,2024-08-13,252474.32
1017,Ravi Teja,South,Mixer,Home Appliances,8,2328.81,2024-03-15,18630.48
1018,Divya Menon,West,Laptop,Electronics,1,31427.64,2024-06-04,31427.64
1019,Vikas Patel,North,Headphones,Accessories,8,55535.92,2024-01-28,444287.36
1020,Ravi Teja,East,Iron,Home Appliances,9,28500.89,2024-02-09,256508.01
1021,Amit Joshi,South,Charger,Accessories,5,38087.49,2024-05-13,190437.45
1022,Ravi Teja,North,Toaster,Home Appliances,3,55391.53,2024-01-04,166174.59
1023,Lakshmi Devi,North,Headphones,Accessories,10,17414.67,2024-11-08,174146.7
1024,Kavya Rao,North,Camera,Electronics,4,48174.98,2024-09-24,192699.92
1025,Lakshmi Devi,North,Headphones,Accessories,1,9679.98,2024-02-17,9679.98
1026,Amit Joshi,South,Mouse,Accessories,6,1610.28,2024-09-19,9661.68
1027,Lakshmi Devi,North,Keyboard,Accessories,5,37303.59,2024-09-25,186517.95
1028,Sneha Iyer,South,Keyboard,Accessories,3,2525.03,2024-02-22,7575.09
1029,Vikas Patel,East,Fitness Band,Wearables,9,36923.76,2024-10-18,332313.84
1030,Rahul Sharma,East,Camera,Electronics,10,3103.55,2024-09-12,31035.5
1031,Kavya Rao,North,Monitor,Electronics,3,50763.04,2024-03-10,152289.12
1032,Suresh Raina,South,Smartwatch,Wearables,2,7494.71,2024-03-18,14989.42
1033,Arjun Das,West,Smartwatch,Wearables,1,59247.41,2024-10-23,59247.41
1034,Anil Verma,West,Keyboard,Accessories,3,24227.6,2024-01-02,72682.8
1035,Pooja Singh,East,Keyboard,Accessories,9,57950.05,2024-05-17,521550.45
1036,Priya Nair,North,USB Cable,Accessories,8,50624.34,2024-05-17,404994.72
1037,Priya Nair,East,Headphones,Accessories,6,23302.27,2024-10-15,139813.62
1038,Ravi Teja,West,Microwave,Home Appliances,8,12202.07,2024-11-13,97616.56
1039,Vikas Patel,South,Fitness Band,Wearables,9,19929.47,2024-05-22,179365.23
1040,Kavya Rao,North,Monitor,Electronics,3,40410.74,2024-04-21,121232.22
1041,Divya Menon,North,Smartwatch,Wearables,7,29066.19,2024-05-29,203463.33
1042,Pooja Singh,West,VR Headset,Wearables,5,9885.23,2024-06-29,49426.15
1043,Arjun Das,West,Mixer,Home Appliances,9,35990.27,2024-08-10,323912.43
1044,Amit Joshi,North,Camera,Electronics,10,50486.69,2024-01-02,504866.9
1045,Rahul Sharma,South,Mouse,Accessories,8,28181.47,2024-10-14,225451.76
1046,Anil Verma,West,Smartwatch,Wearables,1,6365.38,2024-08-05,6365.38
1047,Anil Verma,West,VR Headset,Wearables,8,30712.64,2024-02-12,245701.12
1048,Neha Reddy,East,USB Cable,Accessories,3,25224.13,2024-12-08,75672.39
1049,Divya Menon,South,USB Cable,Accessories,1,31550.19,2024-09-05,31550.19
1050,Ravi Teja,West,Charger,Accessories,5,26591.55,2024-09-23,132957.75
1051,Suresh Raina,South,Camera,Electronics,6,20288.32,2024-12-20,121729.92
1052,Lakshmi Devi,East,VR Headset,Wearables,4,537.09,2024-06-14,2148.36
1053,Neha Reddy,North,Tablet,Electronics,4,8824.16,2024-03-21,35296.64
1054,Pooja Singh,North,Keyboard,Accessories,9,38044.17,2024-09-14,342397.53
1055,Suresh Raina,West,Smartwatch,Wearables,10,7531.63,2024-02-15,75316.3
1056,Amit Joshi,East,Fitness Band,Wearables,3,45769.25,2024-05-17,137307.75
1057,Arjun Das,South,Headphones,Accessories,7,46010.81,2024-08-01,322075.67
1058,Neha Reddy,West,Camera,Electronics,9,21042.5,2024-12-11,189382.5
1059,Sneha Iyer,South,Laptop,Electronics,3,26824.76,2024-01-01,80474.28
1060,Kavya Rao,South,Iron,Home Appliances,10,9899.86,2024-12-20,98998.6
1061,Arjun Das,North,Mixer,Home Appliances,6,25270.31,2024-08-09,151621.86
1062,Divya Menon,East,VR Headset,Wearables,1,27942.34,2024-03-18,27942.34
